,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
5241,-118.39,34.12,29,6447,1012.0,2184,960,8.2816,500001,<1H OCEAN
17352,-120.42,34.89,24,2020,307.0,855,283,5.0099,162500,<1H OCEAN
3505,-118.45,34.25,36,1453,270.0,808,275,4.3839,204600,<1H OCEAN
7777,-118.1,33.91,35,1653,325.0,1072,301,3.2708,159700,<1H OCEAN
14155,-117.07,32.77,38,3779,614.0,1495,614,4.3529,184000,NEAR OCEAN
7057,-118.04,33.93,35,1805,387.0,1505,366,4.1667,151900,<1H OCEAN
33,-122.27,37.83,49,1655,366.0,754,329,1.375,104900,NEAR BAY
17049,-122.26,37.46,26,5067,750.0,1996,728,7.0001,500001,NEAR OCEAN
18164,-122.03,37.36,16,2697,803.0,1369,723,4.4699,367400,<1H OCEAN
10444,-117.61,33.43,24,2303,399.0,851,379,3.9875,346500,NEAR OCEAN
4652,-118.32,34.06,36,3239,722.0,1383,612,4.5918,337000,<1H OCEAN
16294,-121.23,37.96,44,2204,473.0,1277,435,1.5539,59200,INLAND
16531,-121.2,37.81,26,395,74.0,193,72,7.3718,212500,INLAND
18029,-121.91,37.24,24,5046,1001.0,2449,968,4.7118,274600,<1H OCEAN
3492,-118.48,34.28,35,2132,368.0,1128,341,5.3107,227100,<1H OCEAN
13279,-117.65,34.1,44,1526,337.0,831,326,3.0284,115800,INLAND
1108,-121.59,39.82,12,1958,369.0,875,354,2.3507,97600,INLAND
2839,-118.97,35.41,36,1896,315.0,937,303,3.996,85500,INLAND
7888,-118.06,33.88,17,7187,1073.0,3844,1068,6.5901,337400,<1H OCEAN
8658,-118.39,33.85,24,4373,871.0,1830,824,5.7128,366200,<1H OCEAN
11441,-117.98,33.73,18,3833,,2192,996,3.4679,219700,<1H OCEAN
8780,-118.32,33.79,35,2924,658.0,1675,602,3.8287,279900,<1H OCEAN
17314,-120.27,34.72,14,1289,277.0,693,237,3.2569,230800,<1H OCEAN
